Date,n_pop,n_cc,n_sampled,n_symp
2020-04-06,864821.5215627619,48.0,388.0,6.999999999999999
2020-04-07,864821.5215627619,32.0,926.0,8.0
2020-04-08,864821.5215627619,73.0,921.0,3.0
2020-04-09,864821.5215627619,54.0,784.0,3.9999999999999996
2020-04-10,864821.5215627619,89.0,356.0,1.0
2020-04-11,864821.5215627619,90.0,78.0,1.0
2020-04-12,864821.5215627619,104.0,22.0,0.0
2020-04-13,864821.5215627619,138.0,446.0,3.0
2020-04-14,864821.5215627619,120.0,374.0,0.9999999999999999
2020-04-15,864821.5215627619,180.0,245.0,4.0
2020-04-16,864821.5215627619,143.0,204.0,1.0
2020-04-17,864821.5215627619,100.0,119.0,1.0
2020-04-18,864821.5215627619,131.0,148.0,0.0
2020-04-19,864821.5215627619,93.0,190.0,1.0
2020-04-20,864821.5215627619,50.0,182.0,1.0
2020-04-21,864821.5215627619,70.0,188.0,2.0
2020-04-22,864821.5215627619,103.0,206.0,0.0
2020-04-23,864821.5215627619,98.0,171.0,1.0
2020-04-24,864821.5215627619,84.0,243.0,1.0
2020-04-25,864821.5215627619,107.0,251.0,1.0
2020-04-26,864821.5215627619,65.0,264.0,1.0
2020-04-27,864821.5215627619,32.0,270.0,2.0
2020-04-28,864821.5215627619,69.0,314.0,1.0
2020-04-29,864821.5215627619,60.0,230.0,3.0
2020-04-30,864821.5215627619,76.0,300.0,3.0
2020-05-01,864821.5215627619,76.0,244.0,1.0
2020-05-02,864821.5215627619,63.0,251.0,1.0
2020-05-03,864821.5215627619,43.0,273.0,1.0
2020-05-04,864821.5215627619,37.0,236.0,3.0
2020-05-05,864821.5215627619,53.0,244.0,2.0
2020-05-06,864821.5215627619,59.0,218.0,1.0
2020-05-07,864821.5215627619,126.0,226.0,1.0
2020-05-08,864821.5215627619,239.0,64.0,0.0
2020-05-09,864821.5215627619,248.0,204.0,2.0
2020-05-10,864821.5215627619,124.0,220.0,1.0
2020-05-11,864821.5215627619,97.0,267.0,2.0
2020-05-12,864821.5215627619,49.0,241.0,3.0
2020-05-13,864821.5215627619,69.0,182.0,2.0
2020-05-14,864821.5215627619,60.0,259.0,0.0
2020-05-15,864821.5215627619,95.0,279.0,2.0
2020-05-16,864821.5215627619,72.0,316.0,1.0
2020-05-17,864821.5215627619,28.0,343.0,3.0
2020-05-18,864821.5215627619,40.0,364.0,4.0
2020-05-19,864821.5215627619,58.0,252.0,1.0
2020-05-20,864821.5215627619,92.0,400.0,2.0
2020-05-21,864821.5215627619,73.0,346.0,5.0
2020-05-22,864821.5215627619,106.0,301.0,5.0
2020-05-23,864821.5215627619,108.0,309.0,2.0
2020-05-24,864821.5215627619,99.0,347.0,0.0
2020-05-25,864821.5215627619,23.0,327.0,1.0
2020-05-26,864821.5215627619,67.0,353.0,2.0
2020-05-27,864821.5215627619,57.0,335.0,4.0
2020-05-28,864821.5215627619,83.0,290.0,0.0
2020-05-29,864821.5215627619,73.0,266.0,3.0
2020-05-30,864821.5215627619,94.0,313.0,0.0
2020-05-31,864821.5215627619,33.0,343.0,4.0
2020-06-01,864821.5215627619,41.0,297.0,2.0
2020-06-02,864821.5215627619,33.0,293.0,2.0
2020-06-03,864821.5215627619,95.0,306.0,4.0
2020-06-04,864821.5215627619,85.0,365.0,4.0
2020-06-05,864821.5215627619,30.0,342.0,4.0
2020-06-06,864821.5215627619,90.0,282.0,2.0
2020-06-07,864821.5215627619,71.0,318.0,3.0
2020-06-08,864821.5215627619,33.0,305.0,2.0
2020-06-09,864821.5215627619,52.0,259.0,3.0
2020-06-10,864821.5215627619,81.0,322.0,0.9999999999999999
2020-06-11,864821.5215627619,61.0,327.0,3.0
2020-06-12,864821.5215627619,77.0,326.0,4.0
2020-06-13,864821.5215627619,91.0,271.0,2.0
2020-06-14,864821.5215627619,65.0,324.0,2.0
2020-06-15,864821.5215627619,30.0,276.0,1.0
2020-06-16,864821.5215627619,38.0,269.0,1.0
2020-06-17,864821.5215627619,84.0,276.0,1.0
2020-06-18,864821.5215627619,59.0,263.0,1.0
2020-06-19,864821.5215627619,49.0,172.0,1.0
2020-06-20,864821.5215627619,67.0,222.0,3.0
2020-06-21,864821.5215627619,72.0,221.0,1.0
2020-06-22,864821.5215627619,29.0,211.0,0.0
2020-06-23,864821.5215627619,27.0,221.0,0.0
2020-06-24,864821.5215627619,66.0,201.0,0.0
2020-06-25,864821.5215627619,60.0,230.0,5.0
2020-06-26,864821.5215627619,56.0,210.0,1.0
2020-06-27,864821.5215627619,91.0,221.0,2.0
2020-06-28,864821.5215627619,55.0,263.0,5.0
2020-06-29,864821.5215627619,35.0,206.0,1.9999999999999998
2020-06-30,864821.5215627619,48.0,231.0,1.0
2020-07-01,864821.5215627619,62.0,262.0,1.0
2020-07-02,864821.5215627619,67.0,222.0,0.0
2020-07-03,864821.5215627619,85.0,218.0,1.0
2020-07-04,864821.5215627619,50.0,219.0,1.0
2020-07-05,864821.5215627619,35.0,219.0,1.0
2020-07-06,864821.5215627619,42.0,252.0,2.0
2020-07-07,864821.5215627619,58.0,273.0,2.0
2020-07-08,864821.5215627619,79.0,334.0,2.0
2020-07-09,864821.5215627619,94.0,262.0,2.0
2020-07-10,864821.5215627619,65.0,273.0,1.0
2020-07-11,864821.5215627619,53.0,244.0,0.0
2020-07-12,864821.5215627619,45.0,240.0,1.0
2020-07-13,864821.5215627619,25.0,250.0,1.0
2020-07-14,864821.5215627619,48.0,278.0,1.0
2020-07-15,864821.5215627619,80.0,252.0,3.0
2020-07-16,864821.5215627619,42.0,238.0,3.0
2020-07-17,864821.5215627619,95.0,212.0,0.0
2020-07-18,864821.5215627619,73.0,243.0,1.0
2020-07-19,864821.5215627619,44.0,265.0,0.0
2020-07-20,864821.5215627619,37.0,231.0,0.0
2020-07-21,864821.5215627619,76.0,251.0,1.0
2020-07-22,864821.5215627619,58.0,239.0,0.9999999999999999
2020-07-23,864821.5215627619,66.0,207.0,1.0
2020-07-24,864821.5215627619,57.0,196.0,0.9999999999999999
2020-07-25,864821.5215627619,105.0,204.0,3.0
2020-07-26,864821.5215627619,90.0,213.0,1.0
2020-07-27,864821.5215627619,49.0,199.0,0.0
2020-07-28,864821.5215627619,48.0,216.0,0.0
2020-07-29,864821.5215627619,149.0,211.0,1.0
2020-07-30,864821.5215627619,44.0,205.0,3.0
2020-07-31,864821.5215627619,79.0,157.0,0.0
2020-08-01,864821.5215627619,103.0,214.0,0.9999999999999999
2020-08-02,864821.5215627619,88.0,223.0,3.0
2020-08-03,864821.5215627619,65.0,235.0,0.0
2020-08-04,864821.5215627619,59.0,221.0,0.0
2020-08-05,864821.5215627619,89.0,207.0,3.0
2020-08-06,864821.5215627619,105.0,195.0,0.0
2020-08-07,864821.5215627619,98.0,214.0,0.0
2020-08-08,864821.5215627619,106.0,202.0,0.0
2020-08-09,864821.5215627619,128.0,219.0,4.0
2020-08-10,864821.5215627619,58.0,209.0,0.0
2020-08-11,864821.5215627619,50.0,174.0,1.0
2020-08-12,864821.5215627619,102.0,194.0,2.0
2020-08-13,864821.5215627619,82.0,187.0,0.9999999999999999
2020-08-14,864821.5215627619,127.0,178.0,1.0
2020-08-15,864821.5215627619,94.0,139.0,0.0
2020-08-16,864821.5215627619,156.0,204.0,0.0
2020-08-17,864821.5215627619,86.0,166.0,1.0
2020-08-18,864821.5215627619,81.0,158.0,1.0
2020-08-19,864821.5215627619,125.0,186.0,3.0
2020-08-20,864821.5215627619,125.0,183.0,1.0
2020-08-21,864821.5215627619,193.0,154.0,2.0
2020-08-22,864821.5215627619,251.0,145.0,0.0
2020-08-23,864821.5215627619,141.0,169.0,0.0
2020-08-24,864821.5215627619,149.0,158.0,1.0
2020-08-25,864821.5215627619,134.0,163.0,2.0
